lon,lat
19.78790867,64.16641668
19.78801186,64.16650212
19.78811504,64.16656417
19.78816664,64.16659205
19.78832142,64.1666586
19.78838745,64.16668198
19.78852779,64.16672515
19.78873416,64.16677191
19.78873416,64.16677191
19.78894053,64.16680609
19.7891469,64.16682767
19.78935328,64.16683936
19.78955965,64.16684116
19.78976602,64.16683576
19.78997239,64.16682227
19.79017877,64.16680159
19.79038514,64.16677191
19.79059151,64.16674224
19.79079788,64.16670356
19.79089488,64.16668198
19.79100426,64.1666613
19.79121063,64.16661453
19.7912973,64.16659205
19.791417,64.16656507
19.79162337,64.16650931
19.79164607,64.16650212
19.79182974,64.16645355
19.79196182,64.16641218
19.79203612,64.1663906
19.79224249,64.16632315
19.79224455,64.16632225
19.79244886,64.1662548
19.79251077,64.16623232
19.79265523,64.16618016
19.79275429,64.16614239
19.79286161,64.16610102
19.79298337,64.16605246
19.79306798,64.16601828
19.79320212,64.16596252
19.79327435,64.16593285
19.79341468,64.16587259
19.79348072,64.16584381
19.79361693,64.16578266
19.7936871,64.16574759
19.7938006,64.16569273
19.79389347,64.16564057
19.7939657,64.1656028
19.79409984,64.16551736
19.7941081,64.16551286
19.79424017,64.16542293
19.79430621,64.16536358
19.79434542,64.165333
19.79443623,64.16524307
19.79449814,64.16515314
19.79451258,64.16511806
19.79454354,64.1650632
19.79456831,64.16497327
19.79456624,64.16488334
19.79453735,64.16479341
19.79451258,64.16475384
19.79448163,64.16470348
19.79439289,64.16461354
19.79430621,64.16455329
19.79426081,64.16452361
19.79409984,64.16444537
19.79407301,64.16443368
19.79389347,64.16436893
19.79380679,64.16434375
19.7936871,64.16431047
19.79348072,64.16426551
19.79341262,64.16425382
19.79327435,64.16422863
19.79306798,64.16419806
19.79286161,64.16417557
19.79271302,64.16416388
19.79265523,64.16415849
19.79244886,64.1641432
19.79224249,64.16413241
19.79203612,64.16412701
19.79182974,64.16412791
19.79162337,64.16413331
19.791417,64.1641459
19.79124158,64.16416388
19.79121063,64.16416658
19.79100426,64.16419086
19.79079788,64.16422863
19.7906947,64.16425382
19.79059151,64.1642772
19.79038514,64.16434375
19.79038514,64.16434375
19.79017877,64.16442648
19.79016432,64.16443368
19.7899889,64.16452361
19.78997239,64.1645335
19.78983412,64.16461354
19.78976602,64.16465581
19.78968347,64.16470348
19.78955965,64.16477272
19.78951837,64.16479341
19.78935328,64.16487165
19.78932645,64.16488334
19.7891469,64.16495888
19.78911182,64.16497327
19.78894053,64.16504522
19.78889719,64.1650632
19.78873416,64.16513605
19.78869495,64.16515314
19.78852779,64.16523767
19.78851541,64.16524307
19.78835237,64.165333
19.78832142,64.16535368
19.78820791,64.16542293
19.78811504,64.16549578
19.78809028,64.16551286
19.78798503,64.1656028
19.78790867,64.16569183
19.78790661,64.16569273
19.78783644,64.16578266
19.78778691,64.16587259
19.78775595,64.16596252
19.78774357,64.16605246
19.78774976,64.16614239
19.78777453,64.16623232
19.78782406,64.16632225
19.78790454,64.16641218
19.78790867,64.16641668
